model,id,format,knob,level,replicate,run,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,normalized,score,strict,vague
claude-sonnet-5,hao_cASDC_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,ASDC,Plasmacytoid dendritic cell (pDC),0.85,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.85}",end_turn,134,40,,0.000668,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,ASDC,Plasmacytoid dendritic cells (pDCs),0.75,"{""cell_type"": ""Plasmacytoid dendritic cells (pDCs)"", ""confidence"": 0.75}",end_turn,170,349,,0.00383,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,ASDC,Plasmacytoid dendritic cell (pDC),0.65,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.65}",end_turn,170,653,,0.00687,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,ASDC,Dendritic cell (conventional/myeloid DC),0.65,"```json
{""cell_type"": ""Dendritic cell (conventional/myeloid DC)"", ""confidence"": 0.65}
```",end_turn,143,45,,0.000736,Dendritic cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cASDC_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,ASDC,"AXL+ SIGLEC6+ dendritic cells (AS DCs, a rare transitional DC subset)",0.7,"{""cell_type"": ""AXL+ SIGLEC6+ dendritic cells (AS DCs, a rare transitional DC subset)"", ""confidence"": 0.7}",end_turn,137,217,,0.002444,ASDC,1.0,1.0,0.0
claude-sonnet-5,hao_cASDC_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,ASDC,Plasmacytoid dendritic cell,0.45,"```json
{""cell_type"": ""Plasmacytoid dendritic cell"", ""confidence"": 0.45}
```",end_turn,88,40,,0.000576,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,ASDC,Monocyte,0.3,"{""cell_type"": ""Monocyte"", ""confidence"": 0.3}",end_turn,89,26,,0.000438,Monocyte (subtype unclear),0.0,0.0,1.0
claude-sonnet-5,hao_cASDC_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,ASDC,AXL+ SIGLEC6+ transitional dendritic cells (pre-DC/AS-DC subset),0.6,"```json
{""cell_type"": ""AXL+ SIGLEC6+ transitional dendritic cells (pre-DC/AS-DC subset)"", ""confidence"": 0.6}
```",end_turn,170,506,,0.0054,ASDC,1.0,1.0,0.0
claude-sonnet-5,hao_cASDC_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,ASDC,Plasmacytoid dendritic cells,0.55,"{""cell_type"": ""Plasmacytoid dendritic cells"", ""confidence"": 0.55}",end_turn,100,35,,0.00055,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,ASDC,Dendritic cells (conventional/myeloid DCs),0.7,"{""cell_type"": ""Dendritic cells (conventional/myeloid DCs)"", ""confidence"": 0.7}",end_turn,170,548,,0.00582,Dendritic cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cASDC_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,ASDC,Plasmacytoid dendritic cell (pDC),0.65,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.65}",end_turn,109,40,,0.000618,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,ASDC,Monocytes (CD14+ classical monocytes),0.75,"{""cell_type"": ""Monocytes (CD14+ classical monocytes)"", ""confidence"": 0.75}",end_turn,125,431,,0.00456,CD14 Mono,0.0,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_0_r0_symbol,symbol,noise,0,0,0,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_2_r0_symbol,symbol,noise,2,0,0,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,140,86,,0.00114,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_0_r0_ensembl,ensembl,noise,0,0,0,ASDC,Plasmacytoid dendritic cells (pDCs),0.75,"{""cell_type"": ""Plasmacytoid dendritic cells (pDCs)"", ""confidence"": 0.75}",end_turn,170,456,,0.0049,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_2_r1_symbol,symbol,noise,2,1,0,ASDC,Plasmacytoid dendritic cell (pDC),0.85,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.85}",end_turn,139,40,,0.000678,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,0,ASDC,Monocyte (myeloid) — likely CD14+/CD16+ monocyte or dendritic cell,0.5,"{""cell_type"": ""Monocyte (myeloid) — likely CD14+/CD16+ monocyte or dendritic cell"", ""confidence"": 0.5}",end_turn,170,704,,0.00738,Monocyte (subtype unclear),0.0,0.0,1.0
claude-sonnet-5,hao_cASDC_noise_2_r2_symbol,symbol,noise,2,2,0,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,137,40,,0.000674,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_2_r0_ensembl,ensembl,noise,2,0,0,ASDC,Plasmacytoid dendritic cells (pDCs),0.65,"```json
{""cell_type"": ""Plasmacytoid dendritic cells (pDCs)"", ""confidence"": 0.65}
```",end_turn,170,441,,0.00475,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_4_r0_symbol,symbol,noise,4,0,0,ASDC,Plasmacytoid dendritic cell,0.85,"{""cell_type"": ""Plasmacytoid dendritic cell"", ""confidence"": 0.85}",end_turn,135,35,,0.00062,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_4_r1_symbol,symbol,noise,4,1,0,ASDC,Plasmacytoid dendritic cell,0.75,"{""cell_type"": ""Plasmacytoid dendritic cell"", ""confidence"": 0.75}",end_turn,144,35,,0.000638,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_4_r2_symbol,symbol,noise,4,2,0,ASDC,Plasmacytoid dendritic cell (pDC),0.85,"```json
{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.85}
```",end_turn,136,45,,0.000722,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_4_r0_ensembl,ensembl,noise,4,0,0,ASDC,Plasmacytoid dendritic cells (pDCs),0.65,"{""cell_type"": ""Plasmacytoid dendritic cells (pDCs)"", ""confidence"": 0.65}",end_turn,170,495,,0.00529,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_6_r0_symbol,symbol,noise,6,0,0,ASDC,Plasmacytoid dendritic cell,0.85,"{""cell_type"": ""Plasmacytoid dendritic cell"", ""confidence"": 0.85}",end_turn,144,35,,0.000638,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_2_r1_ensembl,ensembl,noise,2,1,0,ASDC,Dendritic cells (myeloid/conventional DC),0.55,"Looking at these genes, I can identify several key markers:
- **IRF8** (ENSG00000140968): Master transcription factor for dendritic cell development
- **CST3** (ENSG00000101439): Highly expressed in monocytes/dendritic cells
- **SAMHD1** (ENSG00000101347): Antiviral restriction factor, enriched in myeloid cells/DCs
- **VIM** (ENSG00000026025): Vimentin, expressed in myeloid lineage cells
- **LMNB2** (ENSG00000167641): Associated with myeloid cell types

The combination of IRF8, CST3, and SAMHD1 is characteristic of dendritic cells (particularly myeloid/conventional dendritic cells), which are IRF8-dependent for development and highly express CST3.

```json
{""cell_type"": ""Dendritic cells (myeloid/conventional DC)"", ""confidence"": 0.55}
```",end_turn,170,1247,,0.01281,Dendritic cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cASDC_noise_4_r1_ensembl,ensembl,noise,4,1,0,ASDC,"Dendritic cells (likely plasmacytoid dendritic cells, based on IRF8/SAMHD1/VIM/S100A10 expression)",0.45,"{""cell_type"": ""Dendritic cells (likely plasmacytoid dendritic cells, based on IRF8/SAMHD1/VIM/S100A10 expression)"", ""confidence"": 0.45}",end_turn,170,645,,0.00679,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_6_r1_symbol,symbol,noise,6,1,0,ASDC,"Dendritic cell (likely plasmacytoid or conventional DC, based on IRF8 and CST3 expression)",0.6,"```json
{""cell_type"": ""Dendritic cell (likely plasmacytoid or conventional DC, based on IRF8 and CST3 expression)"", ""confidence"": 0.6}
```",end_turn,138,65,,0.000926,Dendritic cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cASDC_noise_6_r0_ensembl,ensembl,noise,6,0,0,ASDC,B cell / Plasma cell,0.55,"{""cell_type"": ""B cell / Plasma cell"", ""confidence"": 0.55}",end_turn,170,338,,0.00372,B cell (subtype unclear),0.0,0.0,1.0
claude-sonnet-5,hao_cASDC_noise_4_r2_ensembl,ensembl,noise,4,2,0,ASDC,"Dendritic cell (likely plasmacytoid or conventional DC, given IRF8 and VIM expression)",0.35,"```json
{""cell_type"": ""Dendritic cell (likely plasmacytoid or conventional DC, given IRF8 and VIM expression)"", ""confidence"": 0.35}
```",end_turn,170,618,,0.00652,Dendritic cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cASDC_noise_6_r2_symbol,symbol,noise,6,2,0,ASDC,Plasmacytoid dendritic cell (pDC),0.85,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.85}",end_turn,151,99,,0.001292,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,0,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_2_r2_ensembl,ensembl,noise,2,2,0,ASDC,Dendritic cell (likely plasmacytoid/myeloid DC subset),0.45,"```json
{""cell_type"": ""Dendritic cell (likely plasmacytoid/myeloid DC subset)"", ""confidence"": 0.45}
```",end_turn,170,1544,,0.01578,Dendritic cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cASDC_noise_6_r1_ensembl,ensembl,noise,6,1,0,ASDC,"Dendritic cells (likely plasmacytoid or myeloid DC, based on IRF8 and CST3 expression)",0.55,"{""cell_type"": ""Dendritic cells (likely plasmacytoid or myeloid DC, based on IRF8 and CST3 expression)"", ""confidence"": 0.55}",end_turn,170,620,,0.00654,Dendritic cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cASDC_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,pDC,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_noise_6_r2_ensembl,ensembl,noise,6,2,0,ASDC,Monocyte,0.45,"{""cell_type"": ""Monocyte"", ""confidence"": 0.45}",end_turn,170,425,,0.00459,Monocyte (subtype unclear),0.0,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,B intermediate,B cell,0.95,"{""cell_type"": ""B cell"", ""confidence"": 0.95}",end_turn,143,24,,0.000526,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,B intermediate,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",end_turn,151,24,,0.000542,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,B intermediate,B cell,0.97,"{""cell_type"": ""B cell"", ""confidence"": 0.97}",end_turn,170,284,,0.00318,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cASDC_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,ASDC,Dendritic cell (myeloid/conventional DC),0.6,"```json
{""cell_type"": ""Dendritic cell (myeloid/conventional DC)"", ""confidence"": 0.6}
```",end_turn,170,514,,0.00548,Dendritic cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,B intermediate,Naive B cell,0.8,"{""cell_type"": ""Naive B cell"", ""confidence"": 0.8}",end_turn,138,27,,0.000546,B naive,0.5,0.0,0.0
claude-sonnet-5,hao_cASDC_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,0,ASDC,"Myeloid dendritic cell / Monocyte (myeloid lineage, based on IRF8, CST3, VIM, SAMHD1, S100A10 expression)",0.55,"```json
{""cell_type"": ""Myeloid dendritic cell / Monocyte (myeloid lineage, based on IRF8, CST3, VIM, SAMHD1, S100A10 expression)"", ""confidence"": 0.55}
```",end_turn,170,921,,0.00955,Dendritic cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,B intermediate,B cell,0.8,"{""cell_type"": ""B cell"", ""confidence"": 0.8}",end_turn,170,455,,0.00489,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cASDC_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,ASDC,,,,max_tokens,107,4000,,0.040214,no answer,0.0,0.0,0.0
claude-sonnet-5,hao_cB-intermediate_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,B intermediate,Memory B cells,0.8,"{""cell_type"": ""Memory B cells"", ""confidence"": 0.8}",end_turn,143,97,,0.001256,B memory,0.5,0.0,0.0
claude-sonnet-5,hao_cB-intermediate_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,B intermediate,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",end_turn,86,24,,0.000412,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,B intermediate,"B cells (naive B cells, based on IGHD, PAX5, BLK, POU2F2, HLA-DMB, HLA-DRB5, AFF3 expression)",0.92,"{""cell_type"": ""B cells (naive B cells, based on IGHD, PAX5, BLK, POU2F2, HLA-DMB, HLA-DRB5, AFF3 expression)"", ""confidence"": 0.92}",end_turn,170,578,,0.00612,B naive,0.5,0.0,0.0
claude-sonnet-5,hao_cB-intermediate_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,B intermediate,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",end_turn,89,52,,0.000698,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,98,24,,0.000436,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,B intermediate,B cells,0.75,"{""cell_type"": ""B cells"", ""confidence"": 0.75}",end_turn,170,580,,0.00614,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,107,110,,0.001314,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,107,24,,0.000454,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,B intermediate,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,125,159,,0.00184,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,143,24,,0.000526,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_0_r0_symbol,symbol,noise,0,0,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,143,29,,0.000576,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,0,B intermediate,B cell,0.97,"{""cell_type"": ""B cell"", ""confidence"": 0.97}",end_turn,170,270,,0.00304,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_2_r0_symbol,symbol,noise,2,0,0,B intermediate,B cell,0.93,"{""cell_type"": ""B cell"", ""confidence"": 0.93}",end_turn,138,24,,0.000516,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_0_r0_ensembl,ensembl,noise,0,0,0,B intermediate,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,303,,0.00337,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_2_r1_symbol,symbol,noise,2,1,0,B intermediate,B cell,0.95,"{""cell_type"": ""B cell"", ""confidence"": 0.95}",end_turn,142,24,,0.000524,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_2_r0_ensembl,ensembl,noise,2,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,170,302,,0.00336,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_2_r2_symbol,symbol,noise,2,2,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,145,29,,0.00058,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_2_r1_ensembl,ensembl,noise,2,1,0,B intermediate,B cell,0.97,"{""cell_type"": ""B cell"", ""confidence"": 0.97}",end_turn,170,310,,0.00344,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_4_r0_symbol,symbol,noise,4,0,0,B intermediate,B cell,0.95,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.95}
```",end_turn,141,29,,0.000572,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_2_r2_ensembl,ensembl,noise,2,2,0,B intermediate,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,317,,0.00351,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_4_r1_symbol,symbol,noise,4,1,0,B intermediate,B cell,0.92,"{""cell_type"": ""B cell"", ""confidence"": 0.92}",end_turn,143,24,,0.000526,B cell (subtype unclear),0.5,0.0,1.0
claude-sonnet-5,hao_cB-intermediate_noise_4_r0_ensembl,ensembl,noise,4,0,0,B intermediate,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,170,321,,0.00355,B cell (subtype unclear),0.5,0.0,1.0
